JR AUTO PECAS - MATRIZ

CONTAGEM DE ESTOQUE 15/07/2026 10:22

Departamento do Produto : TODOS
Empresa : 001-JR AUTO PECAS - MATRIZ
Fornecedor : TODOS
Produto : TODOS
Marca : TODOS
Unidade : TODOS
Descrição : TODOS
Exibir Saldo Reservado : NÃO
Exibir Saldo : SIM
Exibir Saldo ML/GR : NÃO
Exportação para E-Commerce : TODOS
Grupo de Compra : TODOS
Exibir Ítem : TODOS
Imprime Lista : TODOS
Linha/Grupo Final : TODOS
Linha/Grupo Inicial : TODOS
Localização Física Final : B 0350
Localização Física Inicial : B 0001
Saldos dos Lotes : TODOS
Status do Lote : TODOS
Lote : TODOS
Opção : ALFABÉTICA
Quebrar Página : NÃO
Quebrar Unidade : NÃO
Saldos : TODOS
Status : TODOS
Referência Inicial : TODOS
Referência Final : TODOS
Localização Super Estoque Final : TODOS
Localização Super Estoque Inicial : TODOS
Lote : TODOS OS ÍTENS
Destino : CSV

CÓDIGO;DESCRIÇÃO;UN.;REFERÊNCIA;LOC.FÍSICA;SALDO;;;;;
"41942";"BCH DIANT BAND ARGO/CRONOS 17/ STRADA 20/ MOBI 46836605 0111536";"PC";"41942";"B 0094";0,00;"______________";"";"";"";""
"21117";"BCH DIANT BAND PALIO TDS 0111038 (B52020) AXIOS";"PC";"21117";"B 0348";47,00;"______________";"";"";"";""
"13123";"BCH EIXO TRAS GOL 011377A";"PC";"13123";"B 0251";17,00;"______________";"";"";"";""
"12233";"BCH EIXO TRAS STNA/GOL/GOL GV/VOY GV  111590  011740A";"PC";"12233";"B 0294";12,00;"______________";"";"";"";""
"48377";"BCH JUMELO L200 4X4 95/ SPORT 03/ (55MM X 28MM)";"PC";"48377";"B 0275";0,00;"______________";"";"";"";""
"06227";"BCH SUSP TRAS TPRA B51008 M41164 J61012-7";"PC";"6227";"B 0286";2,00;"______________";"";"";"";""
"41935";"BCH TRAS BAND ARGO/CRONOS 17/ STRADA 20/ (BCH ABRAC) 57137681 LT80113";"PC";"41935";"B 0009";2,00;"______________";"";"";"";""
"31424";"BCH TRAS BAND DIANT DUCATO/JUMPER/BOXER (MANCAL GRD C/ABRAC) 5115482 AXIOS";"PC";"31424";"B 0096B";5,00;"______________";"";"";"";""
"41160";"BCH TRAS BAND TORO/RENEGADE/COMPASS (MAIOR - CAPA FERRO) 8312 LT80263 51939754";"PC";"41160";"B 0245";14,00;"______________";"";"";"";""
"25532";"BIELETA ESTAB TRAS LD CIVIC 03/ (52320S5A013) M70458 J13050-2 SK2674 MR1770";"PC";"25532";"B 0014";2,00;"______________";"";"";"";""
"09156";"BOCAL MANG COL ADM G/PST/V 1.8 BVW907A 30185BV 8663D";"PC";"9156";"B 0343";15,00;"______________";"";"";"";""
"29988";"BOR BAR ESTAB HYUNDAI IX35 25MM 620200C";"PC";"29988";"B 0175B";3,00;"______________";"";"";"";""
"16637";"BOR BAR ESTAB UNO R 18MM B50232 M41176 S139";"PC";"16637";"B 0274";2,00;"______________";"";"";"";""
"25106";"BOR ESTAB DIANT PAJERO TR4/IO J47019-6 BAC10712 M80554";"PC";"25106";"B 0166";12,00;"______________";"";"";"";""
"29754";"BOR ESTAB HILUX 05/ (P8771 M80494) 5415536 AXIOS";"PC";"29754";"B 0301";8,00;"______________";"";"";"";""
"18985";"BRZ MANCAL PALIO FIRE TDS 8/16V BC068 025 77848610 BCFI10B 025";"JG";"18985";"B 0306";5,00;"______________";"";"";"";""
"32654";"BRZ MANCAL PALIO FIRE TDS 8/16V BC068 025 77848610 BCFI10B 025";"JG";"32654";"B 0306";0,00;"______________";"";"";"";""
"58552";"BRZ MANCAL PALIO FIRE TDS 8/16V BC068 025 77848610 BCFI10B 025";"JG";"58552";"B 0306";3,00;"______________";"";"";"";""
"25457";"BUJAO CARTER CLIO/MEGANE/SCENIC 97703075210 (M16X1.5) 763004C 99978D";"PC";"25457";"B 0104";9,00;"______________";"";"";"";""
